;ColourChecker;patch_id;illuminant;X;Y;Z;R;G;B
0;CCDSG;B2;JND65;0.16812715580355073;0.10802437924800051;0.16618562132952058;767.6473922902494;549.1128117913833;747.9489795918367
1;CCDSG;B3;JND65;0.39434603805310753;0.3291451866285706;0.5385076315114601;1689.4764739229024;2823.451814058957;3162.3072562358275
2;CCDSG;B4;JND65;0.15498809616652837;0.09813850537156163;0.2950519860629111;496.62103174603175;633.0235260770975;1272.8690476190477
3;CCDSG;B5;JND65;0.20450649526484305;0.22372941041093392;0.6425507225763085;469.1731859410431;2477.8823696145123;3537.9141156462583
4;CCDSG;B6;JND65;0.2559889815933695;0.3280122756114652;0.607165270557984;680.0323129251701;3181.295351473923;3443.6490929705215
5;CCDSG;B7;JND65;0.051943319849316855;0.06578725334475327;0.08690425444399164;70.90362811791383;346.32568027210885;328.7604875283447
6;CCDSG;B8;JND65;0.22373153499692947;0.32028674541766294;0.465827938223988;544.9785997732426;2707.2568027210887;2531.702239229025
7;CCDSG;B9;JND65;0.0649356739232614;0.06619063609687242;0.06160690630430862;132.23611111111111;237.59240362811792;152.21343537414967
8;CCDSG;C2;JND65;0.08366425851474364;0.07069421730398436;0.13282768602865175;244.07950680272108;412.98398526077096;585.8548752834467
9;CCDSG;C3;JND65;0.18047401170008417;0.15364844272875053;0.38473987832953405;607.7448979591836;1499.358843537415;2190.4030612244896
10;CCDSG;C4;JND65;0.07054369189628149;0.06895577938996764;0.18436309506068901;110.3202947845805;538.7080498866213;866.7704081632653
11;CCDSG;C5;JND65;0.30999121083169273;0.3254175840449335;0.6697601288414715;965.8405612244898;3187.21485260771;3786.390447845805
12;CCDSG;C6;JND65;0.056776411779823975;0.06786491117824583;0.12562319176414602;90.54591836734694;460.2891156462585;546.8866213151928
13;CCDSG;C7;JND65;0.27736253543264927;0.32072021100585263;0.6515473644946945;761.657596371882;3023.2437641723354;3522.28514739229
14;CCDSG;C8;JND65;0.14377399893701756;0.22515319656700494;0.31755151241421586;335.04478458049886;1989.3395691609978;1831.7074829931973
15;CCDSG;C9;JND65;0.22370047093619125;0.3263565937026066;0.24765654135614426;594.2684240362812;2296.725056689342;1406.719954648526
16;CCDSG;D2;JND65;0.6430490807579595;0.6719687529631461;0.8902436333100286;2878.732993197279;7023.095804988662;6375.017290249433
17;CCDSG;D3;JND65;0.7151610020070518;0.6744631040775932;0.7797187209518398;3299.624149659864;6079.6207482993195;5245.066326530612
18;CCDSG;D4;JND65;0.5724723928478588;0.6730390601984197;0.7816044098775805;2192.8732993197277;6443.640306122449;5281.8044217687075
19;CCDSG;D5;JND65;0.7051749897066604;0.6743949282605928;0.6896802088583531;2937.0272108843537;5295.613095238095;4209.211451247165
20;CCDSG;D6;JND65;0.5831842477092583;0.6617341177846441;0.47914831681113135;2187.609693877551;4999.3452380952385;3003.9563492063494
21;CCDSG;D7;JND65;0.3906206482648846;0.32379123833743334;0.17637409072755048;1613.1519274376417;1685.906179138322;864.2242063492064
22;CCDSG;D8;JND65;0.39434092874090737;0.3544487335795557;0.28130774026045413;1535.1420068027212;2146.719387755102;1525.8503401360545
23;CCDSG;D9;JND65;0.13267311765072376;0.2231866163062773;0.184136811478543;302.71967120181404;1660.8194444444443;1042.18679138322
24;CCDSG;E2;JND65;0.1179107683530191;0.10381585192213906;0.07434177228087857;525.0280612244898;589.1952947845805;332.23894557823127
25;CCDSG;E3;JND65;0.39204308079896116;0.3073583413808753;0.07585059972320324;2162.5408163265306;1785.4024943310658;532.4569160997733
26;CCDSG;E4;JND65;0.08403767332117602;0.06577285749076993;0.28133572322393635;133.63151927437642;650.5340136054422;1410.310090702948
27;CCDSG;E5;JND65;0.8749667414572774;0.9091092187971761;1.0280540602588184;3550.753968253968;7926.69529478458;6544.125850340136
28;CCDSG;E6;JND65;0.042321982683479656;0.04367807841054111;0.05055270078213772;47.039965986394556;93.28769841269842;74.34041950113378
29;CCDSG;E7;JND65;0.5727552908067676;0.5209601134324232;0.40182407617147503;2275.081632653061;3324.6510770975055;2213.841411564626
30;CCDSG;E8;JND65;0.5469428998147305;0.46703977085305654;0.34426688862956584;2140.4948979591836;2677.78231292517;1765.078798185941
31;CCDSG;E9;JND65;0.05285213994569602;0.06712601196564191;0.06731182644223485;87.16666666666667;329.38775510204084;225.38151927437642
32;CCDSG;F2;JND65;0.3807902126301353;0.3451176700316427;0.2678869451703703;2029.7117346938776;2876.297335600907;1985.658163265306
33;CCDSG;F3;JND65;0.145285048710637;0.12584686671154877;0.42425925359116223;379.8500566893424;1453.5065192743764;2465.7715419501133
34;CCDSG;F4;JND65;0.1486149001124364;0.2359841137583242;0.10801719867772089;488.03316326530614;2011.0274943310658;827.9308390022676
35;CCDSG;F5;JND65;0.5612613562325953;0.581627640967827;0.6707503516085221;2234.7482993197277;5036.2069160997735;4205.441609977324
36;CCDSG;F6;JND65;0.09436359847322429;0.09810059134798765;0.1166789939230708;250.51388888888889;568.2774943310658;478.4169501133787
37;CCDSG;F7;JND65;0.36400783465740366;0.34706377886007234;0.23516523347862742;1457.1842403628118;2201.9600340136053;1322.265306122449
38;CCDSG;F8;JND65;0.37529110138222366;0.3544695815110483;0.29111409370060015;1389.31179138322;2206.941893424036;1507.2446145124716
39;CCDSG;F9;JND65;0.21054702706220266;0.3145785415426008;0.3088085333998088;566.9319727891157;2519.704931972789;1827.5841836734694
40;CCDSG;G2;JND65;0.17848067230917344;0.18816179759331345;0.3640462338312958;628.6763038548753;2081.6660997732424;2398.109977324263
41;CCDSG;G3;JND65;0.2890642187579894;0.19386197442343645;0.13964650407048645;1578.6037414965986;996.3730158730159;717.7301587301587
42;CCDSG;G4;JND65;0.20194692767233577;0.1190930173456354;0.059059928906812414;1057.5068027210884;332.12981859410434;175.23639455782313
43;CCDSG;G5;JND65;0.35204253058972673;0.365294901241275;0.42682252015803157;1363.6352040816328;3086.806689342404;2589.7755102040815
44;CCDSG;G6;JND65;0.1378661245684074;0.1431098048888182;0.16538463748661017;426.7800453514739;954.0382653061224;784.875
45;CCDSG;G7;JND65;0.185567643063129;0.1683826461282039;0.1023320975432469;705.4940476190476;882.2448979591836;446.1031746031746
46;CCDSG;G8;JND65;0.38609094709714875;0.35935376318715434;0.30349797743579926;1513.2134353741496;2321.49858276644;1674.7052154195012
47;CCDSG;G9;JND65;0.23372351141639477;0.31847020146678123;0.14661910112057172;675.3010204081633;2055.9909297052154;798.9835600907029
48;CCDSG;H2;JND65;0.10485832523639249;0.1306974643904898;0.078413691909171;426.4982993197279;1153.8684807256236;532.937641723356
49;CCDSG;H3;JND65;0.08623138818319923;0.06562296735298159;0.1501005745437288;248.2531179138322;359.8201530612245;638.6703514739229
50;CCDSG;H4;JND65;0.5571125497407816;0.5895667412674441;0.10153187215118456;2689.328798185941;4139.048185941043;918.4231859410431
51;CCDSG;H5;JND65;0.21252072691217566;0.22023548101854037;0.2526563791281036;777.530045351474;1740.3475056689342;1432.718820861678
52;CCDSG;H6;JND65;0.2919556316743712;0.30308364754694844;0.3565039958011457;1093.8347505668935;2493.0056689342405;2084.1462585034014
53;CCDSG;H7;JND65;0.4039597098688754;0.38548073795982624;0.3220247396020442;1669.7397959183672;2715.8650793650795;1898.6360544217687
54;CCDSG;H8;JND65;0.3867147207249993;0.36031585864313714;0.2889792511510828;1530.9863945578231;2323.058673469388;1607.8931405895692
55;CCDSG;H9;JND65;0.13211664615595917;0.22226632702529917;0.08802296073477998;335.4020691609977;1540.890164399093;531.9513888888889
56;CCDSG;I2;JND65;0.24633834482194847;0.23074082512337832;0.4587383361801968;979.5547052154195;2462.4226190476193;2964.0192743764173
57;CCDSG;I3;JND65;0.33721341671100996;0.44086968192456216;0.12454419456701302;1480.3860544217687;3703.1490929705215;1107.4424603174602
58;CCDSG;I4;JND65;0.30352609923629853;0.19730109884775512;0.32231298579513007;1450.4784580498865;1308.0898526077096;1715.4940476190477
59;CCDSG;I5;JND65;0.115438718597562;0.11963645953326568;0.14147578025381935;361.99971655328795;812.3664965986394;678.6689342403628
60;CCDSG;I6;JND65;0.4915763267938653;0.5088989071281348;0.5894625386955284;1862.5510204081634;4189.213718820862;3501.8973922902496
61;CCDSG;I7;JND65;0.20787167389765357;0.17291970676449864;0.08302670842340792;837.234410430839;795.702664399093;323.57936507936506
62;CCDSG;I8;JND65;0.13630956889148022;0.12344224853217182;0.07598456991564867;465.6153628117914;567.2142857142857;269.58106575963717
63;CCDSG;I9;JND65;0.19795691244246338;0.3323797160471831;0.13141709048966863;524.8217120181406;2319.403344671202;859.8537414965987
64;CCDSG;J2;JND65;0.31642678060867285;0.4263704122380841;0.4932181034858705;1245.5977891156463;4835.988803854875;3903.5354308390024
