Date Saved,29/05/2022 20:54:02
Title,INDIGO-C7000-A_038_02°_5557K

Measuring Mode,Ambient
Viewing Angle [°],2
Tcp [K],5557
⊿uv,0.0018
Illuminance [lx],96600
Illuminance [fc],8970
Peak Wavelength [nm],470
Tristimulus Value X,93096.2586
Tristimulus Value Y,96564.1975
Tristimulus Value Z,91466.3712
CIE1931 x,0.3312
CIE1931 y,0.3435
CIE1931 z,0.3254
CIE1976 u',0.2051
CIE1976 v',0.4786
Dominant Wavelength [nm],542
Purity [%],2.5
PPFD [umolm⁻²s⁻¹],1732.9
CRI Ra,99.4
CRI R1,99.6
CRI R2,99.3
CRI R3,99.5
CRI R4,99.6
CRI R5,99.4
CRI R6,99.1
CRI R7,99.3
CRI R8,99.4
CRI R9,98.9
CRI R10,98.8
CRI R11,99.3
CRI R12,97.8
CRI R13,99.3
CRI R14,99.8
CRI R15,99.5
TM-30 Rf,99
TM-30 Rg,100
SSIt,57
SSId,98
SSI1,---
SSI2,---
TLCI,100
TLMF,---

Spectral Data 380[nm],0.514802634716
Spectral Data 385[nm],0.548144638538
Spectral Data 390[nm],0.578744888306
Spectral Data 395[nm],0.699335634708
Spectral Data 400[nm],0.871280133724
Spectral Data 405[nm],0.990259110928
Spectral Data 410[nm],1.026882529259
Spectral Data 415[nm],1.036334991455
Spectral Data 420[nm],1.044633030891
Spectral Data 425[nm],1.030593633652
Spectral Data 430[nm],1.026679277420
Spectral Data 435[nm],1.076890349388
Spectral Data 440[nm],1.155660271645
Spectral Data 445[nm],1.239368915558
Spectral Data 450[nm],1.313921451569
Spectral Data 455[nm],1.356296658516
Spectral Data 460[nm],1.376397252083
Spectral Data 465[nm],1.390651106834
Spectral Data 470[nm],1.393411874771
Spectral Data 475[nm],1.392613768578
Spectral Data 480[nm],1.387006402016
Spectral Data 485[nm],1.363622307777
Spectral Data 490[nm],1.350915670395
Spectral Data 495[nm],1.356598734856
Spectral Data 500[nm],1.362817645073
Spectral Data 505[nm],1.361644387245
Spectral Data 510[nm],1.351488590240
Spectral Data 515[nm],1.328969597816
Spectral Data 520[nm],1.319405555725
Spectral Data 525[nm],1.336696028709
Spectral Data 530[nm],1.369663834572
Spectral Data 535[nm],1.388228058815
Spectral Data 540[nm],1.376838445663
Spectral Data 545[nm],1.362694859505
Spectral Data 550[nm],1.361446380615
Spectral Data 555[nm],1.353319406509
Spectral Data 560[nm],1.338623046875
Spectral Data 565[nm],1.325410366058
Spectral Data 570[nm],1.319620132446
Spectral Data 575[nm],1.323094129562
Spectral Data 580[nm],1.321803450584
Spectral Data 585[nm],1.306915760040
Spectral Data 590[nm],1.291324853897
Spectral Data 595[nm],1.282531499863
Spectral Data 600[nm],1.280684232712
Spectral Data 605[nm],1.280063629150
Spectral Data 610[nm],1.271605014801
Spectral Data 615[nm],1.260082483292
Spectral Data 620[nm],1.249583601952
Spectral Data 625[nm],1.237875103951
Spectral Data 630[nm],1.229331135750
Spectral Data 635[nm],1.227975487709
Spectral Data 640[nm],1.227437496185
Spectral Data 645[nm],1.216956138611
Spectral Data 650[nm],1.195554852486
Spectral Data 655[nm],1.180161595345
Spectral Data 660[nm],1.184710741043
Spectral Data 665[nm],1.197695493698
Spectral Data 670[nm],1.202355146408
Spectral Data 675[nm],1.199507594109
Spectral Data 680[nm],1.177382469177
Spectral Data 685[nm],1.124352812767
Spectral Data 690[nm],1.077523469925
Spectral Data 695[nm],1.070938467979
Spectral Data 700[nm],1.084596395493
Spectral Data 705[nm],1.097459793091
Spectral Data 710[nm],1.076474666595
Spectral Data 715[nm],1.006957411766
Spectral Data 720[nm],0.944156229496
Spectral Data 725[nm],0.923073291779
Spectral Data 730[nm],0.941708087921
Spectral Data 735[nm],0.985658824444
Spectral Data 740[nm],1.027685284615
Spectral Data 745[nm],1.050050139427
Spectral Data 750[nm],1.005548000336
Spectral Data 755[nm],0.874405741692
Spectral Data 760[nm],0.768444716930
Spectral Data 765[nm],0.796161234379
Spectral Data 770[nm],0.893292188644
Spectral Data 775[nm],0.947392284870
Spectral Data 780[nm],0.958987891674

Spectral Data 380[nm],0.520358562469
Spectral Data 381[nm],0.529299736023
Spectral Data 382[nm],0.537140786648
Spectral Data 383[nm],0.543569087982
Spectral Data 384[nm],0.548117041588
Spectral Data 385[nm],0.550317585468
Spectral Data 386[nm],0.550296366215
Spectral Data 387[nm],0.549941003323
Spectral Data 388[nm],0.551464498043
Spectral Data 389[nm],0.557080030441
Spectral Data 390[nm],0.568452358246
Spectral Data 391[nm],0.585357725620
Spectral Data 392[nm],0.607166230679
Spectral Data 393[nm],0.633247911930
Spectral Data 394[nm],0.662964940071
Spectral Data 395[nm],0.695648431778
Spectral Data 396[nm],0.730621635914
Spectral Data 397[nm],0.767207920551
Spectral Data 398[nm],0.804643571377
Spectral Data 399[nm],0.841760873795
Spectral Data 400[nm],0.877274692059
Spectral Data 401[nm],0.909899950027
Spectral Data 402[nm],0.938506603241
Spectral Data 403[nm],0.962803125381
Spectral Data 404[nm],0.982780218124
Spectral Data 405[nm],0.998428881168
Spectral Data 406[nm],1.009833455086
Spectral Data 407[nm],1.017668128014
Spectral Data 408[nm],1.022836446762
Spectral Data 409[nm],1.026242375374
Spectral Data 410[nm],1.028726935387
Spectral Data 411[nm],1.030663847923
Spectral Data 412[nm],1.032217741013
Spectral Data 413[nm],1.033552169800
Spectral Data 414[nm],1.034831285477
Spectral Data 415[nm],1.036233544350
Spectral Data 416[nm],1.037943720818
Spectral Data 417[nm],1.040145993233
Spectral Data 418[nm],1.042960286140
Spectral Data 419[nm],1.045862078667
Spectral Data 420[nm],1.047957301140
Spectral Data 421[nm],1.048347353935
Spectral Data 422[nm],1.046221852303
Spectral Data 423[nm],1.041820764542
Spectral Data 424[nm],1.036073803902
Spectral Data 425[nm],1.029922962189
Spectral Data 426[nm],1.024298667908
Spectral Data 427[nm],1.019966483116
Spectral Data 428[nm],1.017568588257
Spectral Data 429[nm],1.017744302750
Spectral Data 430[nm],1.021098136902
Spectral Data 431[nm],1.027627944946
Spectral Data 432[nm],1.036812543869
Spectral Data 433[nm],1.048114180565
Spectral Data 434[nm],1.061000108719
Spectral Data 435[nm],1.075089454651
Spectral Data 436[nm],1.090149044991
Spectral Data 437[nm],1.105950117111
Spectral Data 438[nm],1.122265577316
Spectral Data 439[nm],1.138916611671
Spectral Data 440[nm],1.155784726143
Spectral Data 441[nm],1.172756195068
Spectral Data 442[nm],1.189717411995
Spectral Data 443[nm],1.206587791443
Spectral Data 444[nm],1.223348855972
Spectral Data 445[nm],1.239989161491
Spectral Data 446[nm],1.256497383118
Spectral Data 447[nm],1.272785902023
Spectral Data 448[nm],1.288541436195
Spectral Data 449[nm],1.303409099579
Spectral Data 450[nm],1.317033767700
Spectral Data 451[nm],1.329090595245
Spectral Data 452[nm],1.339420795441
Spectral Data 453[nm],1.347910642624
Spectral Data 454[nm],1.354446172714
Spectral Data 455[nm],1.358990669250
Spectral Data 456[nm],1.362116098404
Spectral Data 457[nm],1.364671707153
Spectral Data 458[nm],1.367508172989
Spectral Data 459[nm],1.371407508850
Spectral Data 460[nm],1.376262545586
Spectral Data 461[nm],1.381332635880
Spectral Data 462[nm],1.385862469673
Spectral Data 463[nm],1.389119386673
Spectral Data 464[nm],1.390950798988
Spectral Data 465[nm],1.391815066338
Spectral Data 466[nm],1.392199397087
Spectral Data 467[nm],1.392586827278
Spectral Data 468[nm],1.393199563026
Spectral Data 469[nm],1.393839836121
Spectral Data 470[nm],1.394271731377
Spectral Data 471[nm],1.394260287285
Spectral Data 472[nm],1.393721938133
Spectral Data 473[nm],1.392947077751
Spectral Data 474[nm],1.392285346985
Spectral Data 475[nm],1.392086148262
Spectral Data 476[nm],1.392532587051
Spectral Data 477[nm],1.393142700195
Spectral Data 478[nm],1.393278241158
Spectral Data 479[nm],1.392300605774
Spectral Data 480[nm],1.389679312706
Spectral Data 481[nm],1.385563969612
Spectral Data 482[nm],1.380368947983
Spectral Data 483[nm],1.374509096146
Spectral Data 484[nm],1.368403434753
Spectral Data 485[nm],1.362488746643
Spectral Data 486[nm],1.357215166092
Spectral Data 487[nm],1.353033661842
Spectral Data 488[nm],1.350373625755
Spectral Data 489[nm],1.349252581596
Spectral Data 490[nm],1.349316716194
Spectral Data 491[nm],1.350198745728
Spectral Data 492[nm],1.351534128189
Spectral Data 493[nm],1.353084683418
Spectral Data 494[nm],1.354784131050
Spectral Data 495[nm],1.356579065323
Spectral Data 496[nm],1.358415126801
Spectral Data 497[nm],1.360207319260
Spectral Data 498[nm],1.361806631088
Spectral Data 499[nm],1.363055467606
Spectral Data 500[nm],1.363795638084
Spectral Data 501[nm],1.363942027092
Spectral Data 502[nm],1.363646030426
Spectral Data 503[nm],1.363106966019
Spectral Data 504[nm],1.362523674965
Spectral Data 505[nm],1.362035632133
Spectral Data 506[nm],1.361467003822
Spectral Data 507[nm],1.360539555550
Spectral Data 508[nm],1.358974933624
Spectral Data 509[nm],1.356520891190
Spectral Data 510[nm],1.353160858154
Spectral Data 511[nm],1.348998546600
Spectral Data 512[nm],1.344138503075
Spectral Data 513[nm],1.338698267937
Spectral Data 514[nm],1.333010673523
Spectral Data 515[nm],1.327573299408
Spectral Data 516[nm],1.322887063026
Spectral Data 517[nm],1.319443821907
Spectral Data 518[nm],1.317451834679
Spectral Data 519[nm],1.316787481308
Spectral Data 520[nm],1.317308545113
Spectral Data 521[nm],1.318873643875
Spectral Data 522[nm],1.321399450302
Spectral Data 523[nm],1.324902772903
Spectral Data 524[nm],1.329412579536
Spectral Data 525[nm],1.334957838058
Spectral Data 526[nm],1.341478943825
