Date Saved,2022/06/19 09:29:43
Title,SPD_014_02°_6658K

Measuring Mode,Ambient
Viewing Angle [°],2
CCT [K],6658
⊿uv,0.0006
Illuminance [lx],2280
Illuminance [fc],211
Peak Wavelength [nm],545
Tristimulus Value X,2196.6199
Tristimulus Value Y,2276.5255
Tristimulus Value Z,2590.0522
CIE1931 x,0.3110
CIE1931 y,0.3223
CIE1931 z,0.3667
CIE1976 u',0.1992
CIE1976 v',0.4644
Dominant Wavelength [nm],485
Purity [%],8.4
PPFD [umolm⁻²s⁻¹],37.8
CRI Ra,94.3
CRI R1,92.1
CRI R2,92.1
CRI R3,98.6
CRI R4,94.0
CRI R5,93.7
CRI R6,92.6
CRI R7,95.4
CRI R8,96.1
CRI R9,89.4
CRI R10,88.5
CRI R11,95.0
CRI R12,90.2
CRI R13,90.8
CRI R14,98.3
CRI R15,91.0
TM-30 Rf,94
TM-30 Rg,99
SSIt,46
SSId,80
SSI1,---
SSI2,---
TLCI,98
TLMF,---

Spectral Data 380[nm],0.011407298036
Spectral Data 385[nm],0.009856311604
Spectral Data 390[nm],0.007238603663
Spectral Data 395[nm],0.007289109286
Spectral Data 400[nm],0.010572013445
Spectral Data 405[nm],0.012908283621
Spectral Data 410[nm],0.010892828926
Spectral Data 415[nm],0.008208955638
Spectral Data 420[nm],0.009286921471
Spectral Data 425[nm],0.015752254054
Spectral Data 430[nm],0.032040908933
Spectral Data 435[nm],0.047167167068
Spectral Data 440[nm],0.044274073094
Spectral Data 445[nm],0.033629480749
Spectral Data 450[nm],0.031293053180
Spectral Data 455[nm],0.034150704741
Spectral Data 460[nm],0.037029381841
Spectral Data 465[nm],0.039397496730
Spectral Data 470[nm],0.041132707149
Spectral Data 475[nm],0.042580798268
Spectral Data 480[nm],0.044512070715
Spectral Data 485[nm],0.046289816499
Spectral Data 490[nm],0.045873969793
Spectral Data 495[nm],0.042932536453
Spectral Data 500[nm],0.039076734334
Spectral Data 505[nm],0.035309761763
Spectral Data 510[nm],0.031907957047
Spectral Data 515[nm],0.028736868873
Spectral Data 520[nm],0.025813350454
Spectral Data 525[nm],0.023366587237
Spectral Data 530[nm],0.022494941950
Spectral Data 535[nm],0.028744962066
Spectral Data 540[nm],0.045321211219
Spectral Data 545[nm],0.054842434824
Spectral Data 550[nm],0.045160125941
Spectral Data 555[nm],0.027446208522
Spectral Data 560[nm],0.021398304030
Spectral Data 565[nm],0.021044326946
Spectral Data 570[nm],0.023242928088
Spectral Data 575[nm],0.027040611953
Spectral Data 580[nm],0.029700824991
Spectral Data 585[nm],0.029672686011
Spectral Data 590[nm],0.028554730117
Spectral Data 595[nm],0.028192272410
Spectral Data 600[nm],0.028671363369
Spectral Data 605[nm],0.030752414837
Spectral Data 610[nm],0.033645458519
Spectral Data 615[nm],0.034767072648
Spectral Data 620[nm],0.033698972315
Spectral Data 625[nm],0.032119110227
Spectral Data 630[nm],0.030171664432
Spectral Data 635[nm],0.027615467086
Spectral Data 640[nm],0.025186270475
Spectral Data 645[nm],0.023360135034
Spectral Data 650[nm],0.021896546707
Spectral Data 655[nm],0.020342726260
Spectral Data 660[nm],0.018357474357
Spectral Data 665[nm],0.015996875241
Spectral Data 670[nm],0.013753509149
Spectral Data 675[nm],0.011982017197
Spectral Data 680[nm],0.010583237745
Spectral Data 685[nm],0.009394197725
Spectral Data 690[nm],0.008197483607
Spectral Data 695[nm],0.006981512532
Spectral Data 700[nm],0.006142990664
Spectral Data 705[nm],0.005630165339
Spectral Data 710[nm],0.005017369054
Spectral Data 715[nm],0.004252174869
Spectral Data 720[nm],0.003527469467
Spectral Data 725[nm],0.003061962081
Spectral Data 730[nm],0.002795189386
Spectral Data 735[nm],0.002445561578
Spectral Data 740[nm],0.002058406128
Spectral Data 745[nm],0.001892649569
Spectral Data 750[nm],0.002001760993
Spectral Data 755[nm],0.002126451582
Spectral Data 760[nm],0.002036854392
Spectral Data 765[nm],0.001706774696
Spectral Data 770[nm],0.001430118456
Spectral Data 775[nm],0.001076080021
Spectral Data 780[nm],0.000854039856

Spectral Data 380[nm],0.012280856259
Spectral Data 381[nm],0.011960822158
Spectral Data 382[nm],0.011548894458
Spectral Data 383[nm],0.011056714691
Spectral Data 384[nm],0.010500251316
Spectral Data 385[nm],0.009895469993
Spectral Data 386[nm],0.009262189269
Spectral Data 387[nm],0.008627939969
Spectral Data 388[nm],0.008021019399
Spectral Data 389[nm],0.007469794247
Spectral Data 390[nm],0.007003860082
Spectral Data 391[nm],0.006654780824
Spectral Data 392[nm],0.006454748102
Spectral Data 393[nm],0.006435899530
Spectral Data 394[nm],0.006616862956
Spectral Data 395[nm],0.006981130689
Spectral Data 396[nm],0.007506233640
Spectral Data 397[nm],0.008169688284
Spectral Data 398[nm],0.008943594992
