Date Saved,2022/06/19 09:29:46
Title,SPD_016_02°_3872K

Measuring Mode,Ambient
Viewing Angle [°],2
CCT [K],3872
⊿uv,0.0038
Illuminance [lx],744
Illuminance [fc],69.1
Peak Wavelength [nm],544
Tristimulus Value X,741.3603
Tristimulus Value Y,743.5603
Tristimulus Value Z,419.4900
CIE1931 x,0.3893
CIE1931 y,0.3904
CIE1931 z,0.2203
CIE1976 u',0.2255
CIE1976 v',0.5088
Dominant Wavelength [nm],578
Purity [%],34.0
PPFD [umolm⁻²s⁻¹],9.6
CRI Ra,84.1
CRI R1,97.9
CRI R2,93.0
CRI R3,53.0
CRI R4,90.2
CRI R5,88.0
CRI R6,78.7
CRI R7,90.1
CRI R8,81.6
CRI R9,31.5
CRI R10,49.6
CRI R11,75.4
CRI R12,54.7
CRI R13,96.6
CRI R14,68.6
CRI R15,96.6
TM-30 Rf,82
TM-30 Rg,101
SSIt,36
SSId,34
SSI1,---
SSI2,---
TLCI,58
TLMF,---

Spectral Data 380[nm],0.001176179736
Spectral Data 385[nm],0.001140538021
Spectral Data 390[nm],0.000832586200
Spectral Data 395[nm],0.000928740134
Spectral Data 400[nm],0.001651836792
Spectral Data 405[nm],0.002277254593
Spectral Data 410[nm],0.002159574069
Spectral Data 415[nm],0.001749195973
Spectral Data 420[nm],0.001933959313
Spectral Data 425[nm],0.003473462770
Spectral Data 430[nm],0.007852146402
Spectral Data 435[nm],0.011748277582
Spectral Data 440[nm],0.010237778537
Spectral Data 445[nm],0.006283057854
Spectral Data 450[nm],0.004445105325
Spectral Data 455[nm],0.004161616322
Spectral Data 460[nm],0.004013597500
Spectral Data 465[nm],0.003710645018
Spectral Data 470[nm],0.003412279300
Spectral Data 475[nm],0.003684152383
Spectral Data 480[nm],0.005826866720
Spectral Data 485[nm],0.009249656461
Spectral Data 490[nm],0.010116457008
Spectral Data 495[nm],0.007487885654
Spectral Data 500[nm],0.004241878632
Spectral Data 505[nm],0.002136702416
Spectral Data 510[nm],0.001183353015
Spectral Data 515[nm],0.000723198464
Spectral Data 520[nm],0.000344724860
Spectral Data 525[nm],0.000296020007
Spectral Data 530[nm],0.002475042827
Spectral Data 535[nm],0.012684583664
Spectral Data 540[nm],0.029852382839
Spectral Data 545[nm],0.036634769291
Spectral Data 550[nm],0.025543134660
Spectral Data 555[nm],0.010561075993
Spectral Data 560[nm],0.003564362647
Spectral Data 565[nm],0.001668908633
Spectral Data 570[nm],0.001759697450
Spectral Data 575[nm],0.003404648509
